return_id,order_id,return_reason,return_date,refund_amount
44,129465,Wrong Product,2022-01-07,4681.99
45,142388,Size Issue,2025-11-21,60106.35
46,142235,Quality Issue,2023-05-20,21722.36
47,139137,Quality Issue,2023-06-25,13844.09
48,77727,Changed Mind,2023-05-21,31647.94
49,198811,Size Issue,2023-01-07,54704.21
50,66401,Changed Mind,2025-10-06,10085.24
51,166159,Size Issue,2025-01-03,13208.09
52,188688,Quality Issue,2024-05-24,104756.85
53,150192,Size Issue,2025-07-23,7458.94
54,163810,Changed Mind,2024-05-20,84925.75
55,65430,Damaged Product,2025-12-03,32190.45
56,181499,Defective Item,2025-01-05,44875.41
57,112317,Wrong Product,2024-11-05,46339.13
58,128745,Wrong Product,2022-03-25,13119.58
59,68412,Changed Mind,2024-02-25,38750.14
60,72465,Late Delivery,2025-04-05,129989.29
61,89987,Late Delivery,2023-10-10,726.79
62,160068,Defective Item,2023-08-29,-43090.73
63,101073,Wrong Product,2023-10-15,35138.11
64,106474,Damaged Product,2022-05-07,100265.31
65,9198,Defective Item,2022-04-15,115018.63
66,21615,Changed Mind,2024-01-25,157026.0
67,112235,Size Issue,2022-03-28,132301.26
68,98626,Wrong Product,2022-10-06,4201.89
69,129879,Changed Mind,2022-02-01,353.17
70,66177,Changed Mind,2024-12-27,156030.66
71,10076,Wrong Product,2026-01-06,179050.02
72,145013,Size Issue,2022-05-24,38809.47
73,54403,Changed Mind,2025-11-05,118524.52
74,112813,Wrong Product,2022-02-28,33283.51
75,2816,,2022-02-07,104224.94
76,41260,Wrong Product,2023-12-14,28387.73
77,189058,Size Issue,2024-10-02,28874.15
78,188902,Damaged Product,2022-03-20,27101.2
79,167030,Changed Mind,2023-12-18,15851.01
80,134553,Quality Issue,2025-04-04,3481.62
81,92597,Size Issue,2023-04-12,81906.46
82,178490,Changed Mind,2022-10-20,122649.37
83,190727,Quality Issue,2023-04-19,19064.54
84,28291,Damaged Product,2024-06-11,647.06
85,100164,Late Delivery,2022-05-14,35678.3
86,112904,Defective Item,2023-10-10,59046.34
87,180473,Size Issue,2022-03-22,171079.16
88,170637,Quality Issue,2022-12-28,46254.54
89,88987,Defective Item,2023-05-09,103516.66
90,146322,Wrong Product,2023-07-13,75685.83
91,137860,Quality Issue,2023-02-02,174390.01
92,143391,Wrong Product,2024-11-02,61219.32
93,171679,Quality Issue,2024-02-13,37500.78
94,164775,Changed Mind,2022-10-25,52085.54
95,171403,Changed Mind,2023-12-04,5910.9
96,182092,Damaged Product,2025-11-25,108571.22
97,31930,Wrong Product,2026-01-04,84186.74
98,78447,Quality Issue,2024-07-30,56571.94
99,145115,Damaged Product,2022-04-22,156479.02
100,96762,Quality Issue,2024-12-12,104826.07
101,153368,Defective Item,2024-08-03,79518.14
102,69029,Size Issue,2024-03-25,9584.05
103,6683,Changed Mind,2023-10-16,114497.9
104,80570,,2024-06-19,27769.32
105,146280,Damaged Product,2024-02-17,148063.68
106,9571,Damaged Product,2022-06-02,25516.22
107,138795,Damaged Product,2024-02-23,41372.4
108,107075,Defective Item,2022-06-30,23528.23
109,33645,Changed Mind,2022-03-03,53087.66
110,123496,Damaged Product,2023-07-13,90190.02
111,174673,Defective Item,2023-06-15,18680.03
112,70580,Changed Mind,2022-06-21,185736.26
113,179456,Damaged Product,2024-07-17,13958.61
114,2676,Size Issue,2024-08-04,5303.5
115,3746,Late Delivery,2024-04-23,37958.09
116,126839,Size Issue,2025-06-20,71776.74
117,185302,Late Delivery,2022-08-19,69833.23
118,33839,Size Issue,2024-07-10,112065.79
119,52781,Defective Item,2023-08-30,87038.84
120,161294,Quality Issue,2024-12-11,9058.26
121,121245,Damaged Product,2024-10-25,21651.73
122,43737,Changed Mind,2025-04-01,99751.22
123,141313,Late Delivery,2024-08-08,17776.22
124,122530,Wrong Product,2025-09-21,46020.0
125,147697,Quality Issue,2023-01-27,507.24
126,129029,Late Delivery,2022-10-30,34575.21
127,24357,Defective Item,2025-09-25,54003.2
128,159378,Size Issue,2023-05-02,4303.26
129,142052,Size Issue,2025-07-16,99623.33
130,56900,Wrong Product,2023-01-21,6740.98
131,11674,Damaged Product,2024-11-13,88920.55
132,14543,Late Delivery,2025-12-03,19877.33
133,44128,Size Issue,2024-09-03,60617.33
134,33363,Size Issue,2025-07-28,19279.03
135,85451,Quality Issue,2025-03-03,17486.73
136,172703,Defective Item,2025-03-16,85880.3
137,12409,Quality Issue,2026-01-02,131474.01
138,182954,Damaged Product,2024-05-08,33503.47
139,107682,Size Issue,2023-11-21,64977.72
140,152039,Quality Issue,2022-06-13,5879.5
141,192056,Changed Mind,2025-12-20,79015.51
142,169962,Size Issue,2023-09-25,5583.18
143,113761,Damaged Product,2024-06-17,116956.15
144,62580,Changed Mind,2022-06-25,149476.52
145,120596,Damaged Product,2024-01-12,12090.93
146,2003,Defective Item,2022-04-29,19433.28
147,67775,Late Delivery,2022-07-05,71641.62
148,100678,Size Issue,2022-01-24,35809.14
149,141970,Changed Mind,2023-10-05,134628.65
150,173668,Changed Mind,2024-05-31,104228.42
151,107245,Wrong Product,2022-06-01,35908.03
152,115627,Defective Item,2024-05-21,6712.52
153,39480,Quality Issue,2024-03-10,28821.65
154,178621,Late Delivery,2025-07-01,49443.5
155,181149,Defective Item,2025-11-04,17676.7
156,37470,Defective Item,2022-04-13,113850.55
157,113698,Defective Item,2023-06-02,59784.51
158,155350,Defective Item,2023-07-27,23360.71
159,183788,Wrong Product,2022-11-04,20362.46
160,140994,Quality Issue,2025-09-21,34092.68
161,193734,Defective Item,2024-11-25,8271.95
162,140571,Damaged Product,2024-04-18,50576.9
163,70505,Late Delivery,2024-05-25,16126.59
164,101936,Defective Item,2022-11-13,47605.54
165,78058,Changed Mind,2023-07-12,56303.52
166,101239,Defective Item,2023-10-21,173017.86
167,117569,Damaged Product,2025-07-06,69621.11
168,41269,Late Delivery,2022-11-19,79826.82
169,51624,Late Delivery,2023-11-03,90409.56
170,121774,Quality Issue,2025-06-08,52588.01
171,31070,Late Delivery,2024-10-21,174390.68
172,152849,Changed Mind,2023-03-04,215686.24
173,165500,Changed Mind,2025-05-06,29687.33
174,134684,Size Issue,2022-01-16,16084.56
175,168490,Defective Item,2024-11-22,26085.94
176,149024,Size Issue,2024-08-10,70453.47
177,1854,Late Delivery,2025-06-27,2268.34
178,108865,Size Issue,2024-04-28,39479.09
179,33043,Late Delivery,2022-04-20,121350.22
180,103759,Size Issue,2022-12-18,50814.12
181,24500,Late Delivery,2023-03-26,283800.51
182,37184,Quality Issue,2024-04-16,582.4
183,141648,Wrong Product,2024-05-14,237871.68
184,93811,Quality Issue,2024-02-02,60510.0
185,6030,Wrong Product,2026-01-08,156707.07
186,169151,Quality Issue,2023-02-16,38524.89
187,167515,Late Delivery,2023-10-01,32262.29
188,126671,Defective Item,2023-10-24,41308.12
189,46602,Late Delivery,2023-05-20,145379.26
190,147139,Size Issue,2023-10-29,179855.66
191,69086,Defective Item,2023-06-10,83501.84
192,188876,Size Issue,2024-01-29,142427.9
193,138413,Late Delivery,2022-12-19,251391.36
194,162816,Changed Mind,2023-12-14,9577.07
195,129242,Defective Item,2022-06-13,8228.64
196,155996,Wrong Product,2022-02-09,81431.94
197,146736,Damaged Product,2023-02-23,22532.14
198,155059,Quality Issue,2025-03-22,142362.82
199,84371,Damaged Product,2022-02-18,94681.36
200,155396,Size Issue,2022-10-30,60901.69
201,56611,Size Issue,2024-03-17,156723.22
202,26147,Wrong Product,2022-02-16,108439.84
203,28419,Damaged Product,2023-10-09,102435.19
204,79094,Defective Item,2023-12-08,57097.2
205,194821,Quality Issue,2024-05-17,6229.58
206,149808,Size Issue,2024-11-01,118451.51
207,45724,Changed Mind,2022-11-07,34671.25
208,184500,Damaged Product,2024-09-21,69810.15
209,157290,Quality Issue,2022-07-10,55218.21
210,10860,Changed Mind,2025-02-22,208339.91
211,128658,Defective Item,2025-11-01,49778.8
212,42855,Defective Item,2024-01-06,65776.63
213,134854,Quality Issue,2025-07-11,101938.63
214,142263,Quality Issue,2022-09-24,101770.26
215,49012,Defective Item,2024-06-02,115441.53
216,29245,Defective Item,2023-02-14,43008.22
217,75584,Late Delivery,2025-08-22,94488.58
218,73844,Quality Issue,2025-10-22,40499.21
219,97862,,2025-01-20,117696.27
220,130937,Wrong Product,2025-07-12,154765.96
221,47927,Changed Mind,2025-08-01,21796.09
222,17311,Wrong Product,2024-11-27,27054.94
223,51452,Size Issue,2025-10-04,171216.49
224,161760,Quality Issue,2022-07-15,24130.45
225,140065,Quality Issue,2025-10-19,2000.47
226,157960,Quality Issue,2024-07-04,26315.45
227,53621,Changed Mind,2024-03-24,3381.9
228,67902,Defective Item,2023-08-31,136081.42
229,181858,Damaged Product,2022-04-23,79495.02
230,141983,Quality Issue,2025-10-14,317844.7
231,181491,Defective Item,2024-02-14,36488.93
232,181885,Size Issue,2025-05-31,104939.88
233,93379,Wrong Product,2025-02-12,97648.4
234,137111,Quality Issue,2025-01-22,56035.74
235,25354,Late Delivery,2025-05-12,79378.26
236,162386,Quality Issue,2025-02-06,26719.87
237,38953,Quality Issue,2024-10-22,92505.2
238,59478,Changed Mind,2022-03-08,29013.86
239,143245,Quality Issue,2022-10-31,48850.0
240,142792,Damaged Product,2025-09-26,28101.55
241,99578,Wrong Product,2024-09-12,61964.22
242,38172,Damaged Product,2024-02-01,382.08
243,138978,Wrong Product,2022-05-03,27307.6
244,104045,Defective Item,2023-03-28,56382.63
245,43807,Defective Item,2022-12-17,272231.05
246,78426,Defective Item,2024-01-17,20452.85
247,108229,Size Issue,2024-03-17,35491.44
248,189988,Late Delivery,2023-08-20,76983.79
249,150078,Defective Item,2024-12-01,125222.6
250,19101,Damaged Product,2024-06-22,116910.17
251,157926,Damaged Product,2022-11-27,21497.03
252,136873,Wrong Product,2022-12-20,87693.15
253,134507,Changed Mind,2024-05-10,55901.44
254,71364,Late Delivery,2024-11-05,66489.84
255,123890,Changed Mind,2022-11-07,67196.64
256,87442,Size Issue,2023-05-24,53120.45
257,189052,Wrong Product,2024-10-12,7225.66
258,174161,Damaged Product,2023-01-21,0.0
259,147164,Size Issue,2024-04-03,15506.71
260,118765,Quality Issue,2025-07-15,97325.5
261,159190,Changed Mind,2025-12-26,7027.9
262,4190,Wrong Product,2025-11-26,10063.67
263,13067,Late Delivery,2025-09-24,54608.29
264,199798,Defective Item,2022-08-31,122477.23
265,69039,Changed Mind,2024-07-09,40371.28
266,65508,Changed Mind,2025-09-14,22476.89
267,20469,Damaged Product,2025-02-11,12400.36
268,49852,Damaged Product,2025-01-25,215465.41
269,46885,Quality Issue,2023-08-25,44669.53
270,177339,Late Delivery,2024-09-13,119480.49
271,60001,Quality Issue,2025-03-30,163661.45
272,67590,Wrong Product,2023-08-03,33210.71
273,198521,Size Issue,2025-08-14,55697.77
274,93430,Changed Mind,2025-05-25,68903.21
275,156323,Quality Issue,2023-11-12,50186.53
276,60686,Late Delivery,2024-06-02,53825.12
277,55961,Defective Item,2025-01-31,125799.8
278,161639,Quality Issue,2025-12-09,69957.93
279,156958,Changed Mind,2023-06-26,40277.16
280,125750,Late Delivery,2023-12-17,37800.29
281,96289,Late Delivery,2022-10-03,88801.38
282,188209,Late Delivery,2024-12-30,12990.85
283,39437,Late Delivery,2023-09-08,35564.04
284,29850,Late Delivery,2023-06-28,7076.38
285,78308,Wrong Product,2025-08-13,41351.22
286,107696,Quality Issue,2024-03-27,122135.77
287,62419,Wrong Product,2022-01-17,80981.77
288,83228,Size Issue,2023-04-02,130406.62
289,192729,Damaged Product,2022-03-14,23540.92
290,78563,Quality Issue,2023-05-21,36077.61
291,149500,Size Issue,2024-05-07,31428.06
292,155602,Changed Mind,2023-11-11,188223.39
293,170548,Size Issue,2025-12-03,26974.31
294,96797,Size Issue,2022-11-12,45449.12
295,96424,Late Delivery,2024-12-19,1810.25
296,40552,Wrong Product,2025-05-18,29742.95
297,109058,Changed Mind,2024-09-10,88331.23
298,26482,Wrong Product,2022-05-13,21689.67
299,76092,Late Delivery,2024-06-28,28686.57
300,106639,Defective Item,2025-07-31,51775.66
301,31556,Damaged Product,2023-10-13,14902.42
302,11251,Wrong Product,2025-02-10,2691.79
303,130177,Damaged Product,2024-07-12,111921.88
304,194208,Late Delivery,2023-12-14,46312.11
305,185557,Changed Mind,2024-12-07,72460.3
306,106525,Wrong Product,2022-07-24,105177.04
307,104095,Quality Issue,2025-12-01,38275.74
308,101161,,2024-03-31,11016.15
309,115989,Quality Issue,2024-04-18,38893.42
310,192576,Damaged Product,2023-04-23,24733.89
311,141514,Quality Issue,2025-11-01,45034.42
312,175413,Quality Issue,2023-03-23,-39049.17
313,6541,Size Issue,2025-05-16,15336.58
314,185597,Wrong Product,2022-03-08,24256.69
315,27356,Late Delivery,2022-06-09,13192.15
316,62762,Damaged Product,2023-03-05,109387.13
317,90907,Changed Mind,2022-05-03,64748.1
318,43209,Wrong Product,2025-08-14,81316.08
319,26646,Quality Issue,2023-10-03,97842.73
320,133434,Defective Item,2024-10-05,17978.31
321,198953,Late Delivery,2023-01-03,130831.94
322,88859,Changed Mind,2022-06-27,152028.61
323,166788,Defective Item,2022-05-18,119219.66
324,151212,Late Delivery,2023-01-12,28886.11
325,68459,Wrong Product,2024-04-05,96707.72
326,81919,,2025-05-28,24554.58
327,53690,Size Issue,2024-10-26,20735.26
328,104232,Damaged Product,2024-06-01,23478.29
329,170984,Late Delivery,2022-03-29,54431.86
330,146549,Damaged Product,2026-01-02,28833.7
331,96370,Late Delivery,2023-03-29,19453.75
332,78666,Changed Mind,2023-09-18,68984.58
333,51822,Wrong Product,2024-07-02,8446.39
334,95721,Wrong Product,2022-08-22,43722.14
335,49766,Late Delivery,2023-02-06,21467.86
336,69996,Damaged Product,2022-05-25,183.8
337,14974,Changed Mind,2025-01-18,130921.52
338,46464,Late Delivery,2024-06-30,98764.82
339,99805,Size Issue,2022-10-01,34578.97
340,1458,Late Delivery,2022-02-09,135048.29
341,79899,Quality Issue,2022-06-21,36943.8
342,61807,Quality Issue,2022-01-29,27308.04
343,19488,Late Delivery,2023-10-21,40783.67
344,137823,Size Issue,2022-02-13,65941.8
345,145776,Changed Mind,2024-11-13,87096.45
346,197863,Size Issue,2025-12-02,5259.04
347,52193,Damaged Product,2023-12-17,180591.09
348,168246,Quality Issue,2024-11-05,28494.37
349,77799,Late Delivery,2022-02-16,25213.01
350,125631,Quality Issue,2025-06-29,96186.59
351,56211,Damaged Product,2025-06-03,82261.16
352,103687,Late Delivery,2025-11-29,36412.25
353,89108,Defective Item,2023-07-06,125131.2
354,156792,Size Issue,2023-10-03,54731.9
355,178820,Quality Issue,2023-12-25,2138.14
356,82309,Damaged Product,2026-01-26,128356.14
357,70104,Late Delivery,2025-02-15,63885.83
358,141161,Defective Item,2024-03-03,146301.64
359,29455,Defective Item,2022-02-18,54649.58
360,154804,Changed Mind,2024-11-21,118505.78
361,180818,Wrong Product,2022-03-03,194191.65
362,125855,Defective Item,2023-09-22,131991.12
363,96913,Defective Item,2025-12-10,16829.2
364,167757,Changed Mind,2024-07-31,5108.15
365,5961,Quality Issue,2024-06-01,93561.39
366,183030,Damaged Product,2025-12-15,71964.47
367,88582,Changed Mind,2024-01-24,288057.74
368,187189,Wrong Product,2025-10-01,44113.91
369,26045,Changed Mind,2023-03-25,69166.29
370,120407,Defective Item,2024-02-11,62358.34
371,75359,Damaged Product,2024-02-28,158821.53
372,104679,Quality Issue,2022-08-21,18914.18
373,101942,Changed Mind,2024-09-03,8309.78
374,50154,Defective Item,2025-06-17,74203.52
375,29967,Wrong Product,2025-10-08,44883.09
376,82711,Quality Issue,2022-11-19,5482.79
377,169930,Changed Mind,2024-04-23,100090.74
378,181285,Defective Item,2023-04-04,51889.69
379,90419,Defective Item,2025-02-19,12586.64
380,54667,Defective Item,2022-05-14,19687.23
381,149485,Damaged Product,2022-03-18,105509.89
382,178728,Defective Item,2024-02-29,44359.42
383,32756,Size Issue,2023-01-23,25373.93
384,239,Quality Issue,2024-01-31,127906.63
385,183477,Late Delivery,2023-05-13,93523.63
386,7816,Quality Issue,2022-10-22,305968.56
387,185034,Defective Item,2022-07-11,219411.17
388,49979,Wrong Product,2022-10-01,15173.89
389,198726,Defective Item,2023-10-28,100948.03
390,38331,Late Delivery,2022-06-22,48143.89
391,38607,Defective Item,2025-12-21,79978.89
392,190255,Size Issue,2022-02-13,12381.01
393,190795,Wrong Product,2023-06-28,34483.62
394,181160,Wrong Product,2022-02-03,46341.03
395,52549,Late Delivery,2022-04-02,143832.88
396,169879,Defective Item,2022-12-09,36300.95
397,58806,Quality Issue,2025-09-18,126120.31
398,82020,Quality Issue,2024-09-13,27950.48
399,149568,Wrong Product,2023-03-31,206365.65
400,176736,Late Delivery,2022-12-14,28714.82
401,160821,Quality Issue,2023-09-03,6515.74
402,194875,Late Delivery,2024-05-30,8389.93
403,114628,Changed Mind,2024-02-17,40297.99
404,149410,Size Issue,2024-09-28,77990.6
405,188380,Quality Issue,2022-10-19,71380.13
406,175644,Changed Mind,2023-02-17,6927.46
407,9660,Size Issue,2025-05-30,124766.89
408,186878,Wrong Product,2022-05-22,2866.81
409,76803,Damaged Product,2025-05-15,7036.47
410,180789,Defective Item,2022-09-24,149308.87
411,144646,Size Issue,2022-01-07,26805.59
412,106452,Damaged Product,2024-03-14,126941.62
413,141274,Late Delivery,2022-10-18,24512.36
414,83979,Wrong Product,2024-05-19,105461.82
415,195171,Changed Mind,2023-01-10,168804.07
416,45466,Wrong Product,2022-12-15,45368.92
417,153724,Defective Item,2024-07-29,97352.5
418,140366,Wrong Product,2022-12-17,31307.62
419,94226,Wrong Product,2022-12-13,94584.03
420,136136,Late Delivery,2024-09-16,29724.46
421,69532,,2022-08-23,6594.79
422,108888,Late Delivery,2022-10-03,31852.12
423,18923,Damaged Product,2023-03-01,26364.27
424,87866,Changed Mind,2023-08-24,6846.53
425,86980,Quality Issue,2024-02-16,396.29
426,4735,Defective Item,2025-04-01,49040.66
427,18851,Quality Issue,2022-03-13,149520.34
428,34249,Wrong Product,2023-09-11,33755.71
429,23512,Changed Mind,2023-12-30,1469.91
430,183894,Late Delivery,2024-09-14,196750.52
431,114966,Size Issue,2022-12-21,45713.43
432,162654,Changed Mind,2025-02-15,173977.46
433,136304,Size Issue,2025-08-02,79977.98
434,190433,Size Issue,2022-09-26,247773.19
435,54586,Late Delivery,2025-01-12,9286.3
436,72200,Changed Mind,2024-12-09,72759.41
437,171147,Size Issue,2022-09-02,107750.82
438,123351,Size Issue,2025-09-07,48031.41
439,106921,Size Issue,2023-05-27,7119.78
440,107036,Size Issue,2022-11-22,8580.97
441,120679,Size Issue,2024-07-30,8063.19
442,17588,Quality Issue,2022-06-02,122622.96
443,181296,Size Issue,2022-01-11,55985.07
444,18295,Late Delivery,2023-09-29,23605.93
445,114358,,2022-07-24,56428.56
446,163324,Changed Mind,2024-12-19,66355.16
447,13132,Changed Mind,2022-03-22,15671.34
448,16903,Defective Item,2023-09-12,45598.97
449,156526,Defective Item,2025-01-22,8511.57
450,153694,Late Delivery,2024-08-10,19693.91
451,17050,Defective Item,2024-06-29,133570.6
452,55911,Damaged Product,2023-06-26,32952.25
453,3955,Wrong Product,2024-08-28,20990.2
454,81660,Size Issue,2024-09-07,21711.34
455,9015,Defective Item,2023-11-10,137163.0
456,167137,Defective Item,2022-04-20,122530.26
457,18847,Changed Mind,2022-06-05,42394.85
458,81505,Size Issue,2025-03-01,16079.28
459,173561,Changed Mind,2023-03-02,35332.36
460,115003,Late Delivery,2025-05-01,177659.53
461,135913,Quality Issue,2022-04-08,42120.54
462,46950,Changed Mind,2023-08-05,72448.93
463,125330,Wrong Product,2022-07-05,117687.64
464,145961,Defective Item,2022-06-17,4000.95
465,43680,Late Delivery,2025-09-28,89095.25
466,101943,Wrong Product,2022-11-20,139370.3
467,82977,Late Delivery,2022-12-29,4082.82
468,169663,Wrong Product,2023-04-01,39303.39
469,191754,Quality Issue,2022-07-12,63472.71
470,119553,Size Issue,2025-01-06,187957.1
471,2380,Quality Issue,2024-07-28,122614.95
472,58282,Wrong Product,2026-01-14,113660.35
473,165060,Damaged Product,2022-05-05,80508.55
474,48584,,2023-07-10,55321.55
475,97971,Late Delivery,2024-07-28,18479.5
476,171635,Wrong Product,2023-05-23,56203.41
477,30419,Size Issue,2023-03-08,28111.49
478,197926,Size Issue,2022-11-28,227914.51
479,198058,Late Delivery,2022-10-06,48536.31
480,173553,Defective Item,2022-09-19,44073.68
481,20062,Size Issue,2025-12-10,16361.89
482,199893,Changed Mind,2024-06-18,68054.05
483,164777,Late Delivery,2022-03-24,106678.49
484,46712,Defective Item,2022-08-14,98880.29
485,45816,Defective Item,2024-11-09,66130.36
486,149470,Changed Mind,2024-06-19,179381.96
487,198752,Wrong Product,2023-03-08,71635.38
488,142132,Defective Item,2023-06-11,81512.03
489,161796,Late Delivery,2024-06-30,188598.37
490,193320,Wrong Product,2023-11-01,44145.45
491,28922,Wrong Product,2025-05-24,145793.95
492,151570,Damaged Product,2025-06-26,109970.79
493,50844,Defective Item,2023-05-28,152543.98
494,54662,Late Delivery,2023-01-05,45159.39
495,107405,Damaged Product,2024-08-21,44789.58
496,33332,Changed Mind,2022-05-23,69655.89
497,122505,Quality Issue,2025-05-24,19462.12
498,76602,Changed Mind,2022-04-15,23556.69
499,115573,Changed Mind,2023-06-28,5184.93
500,97887,Damaged Product,2023-03-29,21355.48
501,71399,Defective Item,2023-12-16,319047.99
502,127162,Quality Issue,2025-10-16,89007.15
503,18484,Damaged Product,2023-02-12,10083.34
504,93587,Quality Issue,2023-03-22,74916.51
505,138311,Size Issue,2024-07-14,61401.75
506,100034,Damaged Product,2025-12-18,34223.96
507,73442,Damaged Product,2024-01-01,92829.2
508,7349,Size Issue,2022-02-10,9065.26
509,188643,Late Delivery,2023-08-31,7735.19
510,188725,Changed Mind,2023-09-22,46361.13
511,152119,Changed Mind,2024-05-30,16765.33
512,90312,Size Issue,2022-08-04,88922.94
513,190825,Size Issue,2025-09-06,30466.33
514,22171,Size Issue,2022-08-17,4653.77
515,124031,Quality Issue,2022-12-09,34239.38
516,169285,Late Delivery,2032-01-01,173728.69
517,121616,Quality Issue,2023-06-04,197311.84
518,69106,Quality Issue,2024-07-06,34354.99
519,101798,Late Delivery,2026-01-05,36477.68
520,57412,Quality Issue,2024-10-25,31825.38
521,188045,Damaged Product,2022-05-29,133576.76
522,52806,Size Issue,2025-01-22,95176.7
523,194830,Wrong Product,2024-01-02,78880.35
524,161010,Changed Mind,2025-01-01,76318.7
525,105359,Damaged Product,2025-05-04,118809.66
526,46745,Size Issue,2022-04-26,4558.98
527,140134,Size Issue,2024-08-28,20172.63
528,7601,Changed Mind,2024-05-16,79807.19
529,47560,Changed Mind,2022-05-16,31029.94
530,111040,Size Issue,2022-11-27,11496.95
531,3383,Damaged Product,2023-07-08,85487.94
532,150562,Late Delivery,2024-11-05,50933.01
533,6059,Changed Mind,2024-03-16,8518.42
534,130974,Defective Item,2025-11-16,25357.38
535,161663,Defective Item,2025-11-03,16869.11
536,172658,Size Issue,2025-03-15,44932.18
537,156735,Size Issue,2023-08-11,30044.64
538,115235,,2024-01-18,118786.45
539,126737,Defective Item,2025-09-23,17571.22
540,166496,Late Delivery,2022-07-17,189142.79
541,48125,Wrong Product,2025-03-08,107422.25
542,134209,Damaged Product,2024-04-01,11712.99
543,15122,Damaged Product,2024-12-22,22266.44
544,97076,Wrong Product,2022-02-04,31003.85
545,66983,Late Delivery,2025-07-03,13984.5
546,64789,Size Issue,2025-06-20,3623.19
547,23224,Changed Mind,2025-05-28,41863.68
548,135632,Damaged Product,2024-09-11,199833.32
549,160284,Changed Mind,2024-12-12,2976.39
550,190841,Late Delivery,2023-03-19,35696.51
551,182994,Quality Issue,2024-11-30,42557.05
552,109991,Late Delivery,2023-03-27,0.0
553,83743,Damaged Product,2025-07-13,9366.79
554,78429,Late Delivery,2025-05-09,48779.75
555,23172,Quality Issue,2024-07-20,91444.18
556,99716,Damaged Product,2024-07-19,168263.76
557,130642,Changed Mind,2022-06-19,18246.3
558,117674,Late Delivery,2023-07-08,14832.35
559,14399,Defective Item,2025-06-16,110948.84
560,148865,Damaged Product,2024-03-18,60632.44
561,133786,Quality Issue,2024-12-23,336846.15
562,152728,Changed Mind,2022-08-02,12231.11
563,124069,Changed Mind,2022-03-31,53523.69
564,141085,Late Delivery,2023-04-26,76198.89
565,6663,Size Issue,2025-09-07,406.39
566,169936,Quality Issue,2022-05-20,118872.63
567,96043,Late Delivery,2025-03-12,61431.96
568,150155,Quality Issue,2023-11-21,87012.63
569,182334,Late Delivery,2025-04-30,17092.22
570,64390,Late Delivery,2032-01-01,30348.16
571,146742,Changed Mind,2023-02-07,42905.96
572,172786,Late Delivery,2025-03-20,80532.71
573,35348,Damaged Product,2025-06-19,36035.83
574,27897,Quality Issue,2022-09-15,5517.41
575,50044,Defective Item,2024-03-03,22901.59
576,80591,Wrong Product,2025-04-02,10324.8
577,39536,Damaged Product,2022-01-17,145110.44
578,36141,Changed Mind,2025-08-04,203315.98
579,130290,Defective Item,2024-05-11,33005.01
580,182174,Defective Item,2022-01-16,22743.46
581,84930,Wrong Product,2022-08-09,10423.48
582,199152,Wrong Product,2024-10-30,100439.0
583,24855,Defective Item,2024-01-10,225104.94
584,122711,Wrong Product,2023-10-16,4991.53
585,137119,Quality Issue,2022-11-02,318364.83
586,46872,Changed Mind,2024-06-14,9346.18
587,131210,Changed Mind,2024-04-22,1053.02
588,193833,Changed Mind,2024-12-18,78729.37
589,166254,Size Issue,2024-06-30,17730.49
590,133047,Damaged Product,2022-04-29,99252.38
591,186675,Late Delivery,2032-01-01,105053.09
