product_id,product_name,category,sub_category,brand,vendor_id,cost_price,selling_price,profit
PROD01772,Mini Nike Biography,Books,Biography,Nike,VEND0056,16873.57,26910.46,10036.89
PROD01402,Classic Oneplus Children,Books,Children,Oneplus,VEND0031,24776.52,37721.86,12945.34
PROD00433,Wireless Fastrack Fiction,Books,Fiction,Fastrack,VEND0033,31760.29,48223.98,16463.69
PROD00695,Premium Casio Mobile,Electronics,Mobile,Casio,VEND0197,11127.42,999999.0,988871.58
PROD01665,Premium Samsung Makeup,Beauty,Makeup,Samsung,VEND0026,21544.63,32234.04,10689.41
PROD00112,Digital Reebok Mobile,Electronics,Mobile,Reebok,VEND0028,24612.74,35595.26,10982.52
PROD01023,Premium Cello Cycling,Sports,Cycling,Cello,VEND0002,27986.09,38566.82,10580.73
PROD00030,Digital Loreal Mobile,Electronics,Mobile,Loreal,VEND0249,3589.32,4460.82,871.5
PROD01883,Luxury Canon Skin Care,Beauty,Skin Care,Canon,VEND0192,7749.19,11106.21,3357.02
PROD00384,Wireless Hp Tablet,Electronics,Tablet,Hp,VEND0198,29866.38,46910.03,17043.65
PROD01473,Mini Wildcraft Fiction,Books,Fiction,Wildcraft,VEND0215,5547.24,7312.07,1764.83
PROD01874,Smart Borosil Lighting,Home,Lighting,Borosil,VEND0096,16768.89,24964.33,8195.44
PROD00307,Classic Ikea Cycling,Sports,Cycling,Ikea,VEND0203,6137.61,9243.08,3105.47
PROD00772,Smart Lakme Cycling,Sports,Cycling,Lakme,VEND0268,20519.74,26536.42,6016.68
PROD00778,Wireless Prestige Men Clothing,Fashion,Men Clothing,Prestige,VEND0156,26474.59,40786.23,14311.64
PROD01694,Portable Noise Skin Care,Beauty,Skin Care,Noise,VEND0289,32813.17,43022.01,10208.84
PROD01272,Elite Samsung Hair Care,Beauty,Hair Care,Samsung,VEND0110,31956.41,19173.846,-12782.56
PROD01577,Smart Lenovo Biography,Books,Biography,Lenovo,VEND0046,49768.39,78811.42,29043.03
PROD00820,Digital Oneplus Hair Care,Beauty,Hair Care,Oneplus,VEND0104,32641.01,47284.37,14643.36
PROD01511,Essential Loreal Men Clothing,Fashion,Men Clothing,Loreal,VEND0044,5961.63,9860.49,3898.86
PROD01183,Premium Syska Perfume,Beauty,Perfume,Syska,VEND0227,39740.64,52340.99,12600.35
PROD00325,Ultra Ikea Fiction,Books,Fiction,Ikea,VEND0245,18408.82,22689.05,4280.23
PROD01437,Advanced Maybelline Headphones,Electronics,Headphones,Maybelline,VEND0139,35037.75,56734.49,21696.74
PROD01134,Digital Lenovo Lighting,Home,Lighting,Lenovo,VEND0063,44374.02,49502.65,5128.63
PROD00679,Smart Loreal Women Clothing,Fashion,Women Clothing,Loreal,VEND0118,46121.48,67241.43,21119.95
PROD01152,Luxury Fastrack Watches,Fashion,Watches,Fastrack,VEND0136,37879.85,51894.21,14014.36
PROD01556,Pro Boat Bags,Fashion,Bags,Boat,VEND0199,28528.18,45995.91,17467.73
PROD00352,Mini Oneplus Laptop,Electronics,Laptop,Oneplus,VEND0156,23995.74,38913.52,14917.78
PROD01519,Pro Adidas Cycling,Sports,Cycling,Adidas,VEND0197,40116.94,59869.42,19752.48
PROD01464,Premium Adidas Cricket,Sports,Cricket,Adidas,VEND0065,5531.15,6442.28,911.13
PROD00819,Eco Puma Hair Care,Beauty,Hair Care,Puma,VEND0169,21351.93,27489.11,6137.18
PROD00615,Ultra Ikea Kitchen,Home,Kitchen,Ikea,VEND0092,34346.23,56764.53,22418.3
PROD00071,Premium Wildcraft Laptop,Electronics,Laptop,Wildcraft,VEND0024,11270.8,13744.49,2473.69
PROD00451,Eco Mamaearth Lighting,Home,Lighting,Mamaearth,VEND0037,5681.55,7952.75,2271.2
PROD01308,Max Mi Laptop,Electronics,Laptop,Mi,VEND0106,3521.08,5907.66,2386.58
PROD01579,Digital Titan Camera,Electronics,Camera,Titan,VEND0149,25192.91,15115.746,-10077.16
PROD01950,Mini Borosil Children,Books,Children,Borosil,VEND0080,30942.08,37199.99,6257.91
PROD01186,Essential Syska Fitness,Sports,Fitness,Syska,VEND0284,48634.42,65733.46,17099.04
PROD00870,Elite Hp Laptop,Electronics,Laptop,Hp,VEND0257,22216.52,24770.55,2554.03
PROD00354,Mini Oneplus Storage,Home,Storage,Oneplus,VEND0145,19861.77,24700.07,4838.3
PROD00975,Digital Ikea Women Clothing,Fashion,Women Clothing,Ikea,VEND0088,30201.62,47529.14,17327.52
PROD01340,Smart Lakme Women Clothing,Fashion,Women Clothing,Lakme,VEND0172,48902.18,73344.58,24442.4
PROD00125,Ultra Prestige Fitness,Sports,Fitness,Prestige,VEND0241,28833.54,44918.77,16085.23
PROD00211,Ultra Canon Education,Books,Education,Canon,VEND0079,5185.09,6499.93,1314.84
PROD00949,Elite Oneplus Skin Care,Beauty,Skin Care,Oneplus,VEND0275,40364.83,60562.98,20198.15
PROD01079,Luxury Syska Men Clothing,Fashion,Men Clothing,Syska,VEND0040,23789.65,29162.39,5372.74
PROD01647,Ultra Canon Biography,Books,Biography,Canon,VEND0096,8553.12,12905.51,4352.39
PROD01494,Advanced Prestige Women Clothing,Fashion,Women Clothing,Prestige,VEND0299,8877.93,14941.23,6063.3
PROD01112,Pro Philips Headphones,Electronics,Headphones,Philips,VEND0135,45346.9,76385.79,31038.89
PROD01334,Classic Mi Footwear,Fashion,Footwear,Mi,VEND0220,31252.43,51897.67,20645.24
PROD00353,Luxury Mi Laptop,Electronics,Laptop,Mi,VEND0246,48105.77,56302.5,8196.73
PROD01755,Premium Borosil Biography,Books,Biography,Borosil,VEND0083,47126.85,60154.49,13027.64
PROD01567,Classic Allen Solly Outdoor,Sports,Outdoor,Allen solly,VEND0006,17766.88,26929.99,9163.11
PROD00520,Smart Puma Cricket,Sports,Cricket,Puma,VEND0151,2772.52,3056.12,283.6
PROD01732,Luxury Oneplus Decor,Home,Decor,Oneplus,VEND0073,6181.27,9487.92,3306.65
PROD01631,Premium Dell Fiction,Books,Fiction,Dell,VEND0111,48589.67,55205.65,6615.98
PROD01081,Digital Reebok Lighting,Home,Lighting,Reebok,VEND0281,12600.68,17757.15,5156.47
PROD01561,Luxury Lakme Kitchen,Home,Kitchen,Lakme,VEND0195,28431.92,48126.33,19694.41
PROD01014,Advanced Mi Cricket,Sports,Cricket,Mi,VEND0029,24548.74,35887.88,11339.14
PROD01834,Mini Mi Education,Books,Education,Mi,VEND0049,34717.56,49390.55,14672.99
PROD00212,Elite Noise Fiction,Books,Fiction,Noise,VEND0289,47567.04,70245.54,22678.5
PROD01011,Mini Reebok Men Clothing,Fashion,Men Clothing,Reebok,VEND0048,30895.22,38069.67,7174.45
PROD01568,Ultra Dell Outdoor,Sports,Outdoor,Dell,VEND0166,36150.05,52312.51,16162.46
PROD00100,Portable Casio Decor,Home,Decor,Casio,VEND0142,17049.93,27760.56,10710.63
PROD01311,Pro Dell Perfume,Beauty,Perfume,Dell,VEND0067,19480.2,31989.46,12509.26
PROD00530,Luxury Casio Education,Books,Education,Casio,VEND0035,16021.49,24613.2,8591.71
PROD00299,Digital Lg Outdoor,Sports,Outdoor,Lg,VEND0195,29196.99,35103.75,5906.76
PROD01019,Mini Borosil Decor,Home,Decor,Borosil,VEND0034,49419.7,69937.8,20518.1
PROD01331,Premium Nivea Kitchen,Home,Kitchen,Nivea,VEND0216,45442.38,55439.31,9996.93
PROD00713,Eco Hp Mobile,Electronics,Mobile,Hp,VEND0004,33806.82,50644.46,16837.64
PROD00651,Pro Ikea Skin Care,Beauty,Skin Care,Ikea,VEND0298,33600.68,42014.71,8414.03
PROD00240,Premium Titan Children,Books,Children,Titan,VEND0132,30786.65,50598.31,19811.66
PROD01962,Smart Nike Lighting,Home,Lighting,Nike,VEND0278,22122.81,30653.84,8531.03
PROD01722,Eco Adidas Perfume,Beauty,Perfume,Adidas,VEND0189,5823.38,6817.99,994.61
PROD01847,Wireless Allen Solly Fiction,Books,Fiction,Allen solly,VEND0188,32622.0,39368.47,6746.47
PROD01877,Premium Loreal Biography,Books,Biography,Loreal,VEND0120,24153.75,32382.74,8228.99
PROD00395,Max Us Polo Fiction,Books,Fiction,Us polo,VEND0124,33665.23,39843.05,6177.82
PROD01354,Portable Borosil Hair Care,Beauty,Hair Care,Borosil,VEND0222,22096.73,31005.59,8908.86
PROD01230,Max Samsung Education,Books,Education,Samsung,VEND0129,3055.74,5051.4,1995.66
PROD01145,Essential Philips Bags,Fashion,Bags,Philips,VEND0254,32398.15,49510.25,17112.1
PROD01621,Portable Cello Cycling,Sports,Cycling,Cello,VEND0233,30635.42,40928.81,10293.39
PROD00863,Wireless Borosil Education,Books,Education,Borosil,VEND0275,7811.55,10751.59,2940.04
PROD01056,Eco Cello Lighting,Home,Lighting,Cello,VEND0140,13961.99,21335.27,7373.28
PROD01426,Advanced Adidas Children,Books,Children,Adidas,VEND0181,28874.72,43804.71,14929.99
PROD01377,Eco Oneplus Mobile,Electronics,Mobile,Oneplus,VEND0267,26140.61,28868.57,2727.96
PROD01346,Portable Ikea Cricket,Sports,Cricket,Ikea,VEND0170,37540.02,46452.25,8912.23
PROD00527,Essential Canon Perfume,Beauty,Perfume,Canon,VEND0018,23839.3,27352.57,3513.27
PROD00486,Mini Philips Mobile,Electronics,Mobile,Philips,VEND0044,6579.23,10488.64,3909.41
PROD01810,Pro Apple Footwear,Fashion,Footwear,Apple,VEND0018,11538.76,18040.24,6501.48
PROD01971,Elite Milton Decor,Home,Decor,Milton,VEND0053,15303.92,23871.85,8567.93
PROD01892,Wireless Noise Bags,Fashion,Bags,Noise,VEND0055,8218.97,12405.75,4186.78
PROD01560,Ultra Nike Lighting,Home,Lighting,Nike,VEND0241,13954.83,15670.85,1716.02
PROD01610,Mini Reebok Cycling,Sports,Cycling,Reebok,VEND0220,1545.5,1866.88,321.38
PROD01813,Portable Bajaj Mobile,Electronics,Mobile,Bajaj,VEND0201,30263.35,36046.93,5783.58
PROD01191,Advanced Oneplus Cycling,Sports,Cycling,Oneplus,VEND0175,4686.34,6706.49,2020.15
PROD00528,Ultra Nike Outdoor,Sports,Outdoor,Nike,VEND0109,47465.28,65000.09,17534.81
PROD01236,Digital Loreal Lighting,Home,Lighting,Loreal,VEND0002,842.94,1277.14,434.2
PROD00531,Advanced Reebok Smart Watch,Electronics,Smart Watch,Reebok,VEND0235,27625.11,44586.22,16961.11
PROD00901,Digital Canon Men Clothing,Fashion,Men Clothing,Canon,VEND0163,21614.19,31429.16,9814.97
PROD01871,Premium Oneplus Headphones,Electronics,Headphones,Oneplus,VEND0060,12947.78,17875.87,4928.09
PROD01259,Premium Dell Cricket,Sports,Cricket,Dell,VEND0151,5136.29,5821.85,685.56
PROD00818,Wireless Mamaearth Camera,Electronics,Camera,Mamaearth,VEND0117,26059.86,39266.92,13207.06
PROD00908,Eco Milton Education,Books,Education,Milton,VEND0188,13499.06,22353.62,8854.56
PROD01454,Elite Cello Smart Watch,Electronics,Smart Watch,Cello,VEND0169,2921.96,3224.48,302.52
PROD00680,Wireless Adidas Perfume,Beauty,Perfume,Adidas,VEND0259,5473.08,6684.87,1211.79
PROD01165,Digital Borosil Bags,Fashion,Bags,Borosil,VEND0178,5891.19,8681.36,2790.17
PROD01537,Advanced Loreal Tablet,Electronics,Tablet,Loreal,VEND0055,1451.04,1841.84,390.8
PROD00116,Ultra Casio Education,Books,Education,Casio,VEND0283,33038.39,39455.58,6417.19
PROD00966,Eco Ikea Biography,Books,Biography,Ikea,VEND0233,10519.01,13157.48,2638.47
PROD00343,Eco Ikea Storage,Home,Storage,Ikea,VEND0164,11746.37,19379.61,7633.24
PROD01692,Max Adidas Tablet,Electronics,Tablet,Adidas,VEND0005,23421.96,35925.52,12503.56
PROD01942,Smart Casio Hair Care,Beauty,Hair Care,Casio,VEND0235,4901.43,7279.71,2378.28
PROD01997,Premium Samsung Makeup,Beauty,Makeup,Samsung,VEND0116,31203.3,41624.22,10420.92
PROD00255,Wireless Allen Solly Men Clothing,Fashion,Men Clothing,Allen solly,VEND0093,3992.4,5834.78,1842.38
PROD01832,Premium Boat Women Clothing,Fashion,Women Clothing,Boat,VEND0163,26242.7,41926.51,15683.81
PROD01951,Elite Syska Cycling,Sports,Cycling,Syska,VEND0087,18749.41,30359.89,11610.48
PROD01091,Classic Wildcraft Watches,Fashion,Watches,Wildcraft,VEND0187,43365.23,71133.94,27768.71
PROD01275,Mini Mi Bags,Fashion,Bags,Mi,VEND0023,31585.16,52040.51,20455.35
PROD00121,Wireless Boat Mobile,Electronics,Mobile,Boat,VEND0292,39641.8,57759.15,18117.35
PROD01944,Luxury Casio Bags,Fashion,Bags,Casio,VEND0072,28433.15,17059.89,-11373.26
PROD00580,Elite Nike Headphones,Electronics,Headphones,Nike,VEND0102,14171.2,22260.92,8089.72
PROD01302,Elite Adidas Storage,Home,Storage,Adidas,VEND0182,15313.32,23623.6,8310.28
PROD00257,Premium Boat Perfume,Beauty,Perfume,Boat,VEND0181,34503.75,45231.94,10728.19
PROD00136,Portable Mamaearth Outdoor,Sports,Outdoor,Mamaearth,VEND0070,9570.99,13970.07,4399.08
PROD01111,Pro Mamaearth Lighting,Home,Lighting,Mamaearth,VEND0011,47240.62,77030.78,29790.16
PROD00940,Elite Milton Skin Care,Beauty,Skin Care,Milton,VEND0224,35394.9,55307.87,19912.97
PROD00465,Wireless Philips Fiction,Books,Fiction,Philips,VEND0007,37051.96,40814.26,3762.3
PROD01345,Luxury Adidas Biography,Books,Biography,Adidas,VEND0021,13942.42,20720.68,6778.26
PROD01048,Luxury Oneplus Perfume,Beauty,Perfume,Oneplus,VEND0161,25736.84,34604.39,8867.55
PROD00931,Wireless Nike Outdoor,Sports,Outdoor,Nike,VEND0067,35418.35,41509.82,6091.47
PROD00110,Elite Lenovo Children,Books,Children,Lenovo,VEND0246,43642.35,63038.69,19396.34
PROD00362,Luxury Dell Fitness,Sports,Fitness,Dell,VEND0004,47262.15,70937.15,23675.0
PROD00351,Eco Mi Headphones,Electronics,Headphones,Mi,VEND0021,2624.25,3480.54,856.29
PROD01633,Wireless Wildcraft Cycling,Sports,Cycling,Wildcraft,VEND0259,35440.19,52918.36,17478.17
PROD01757,Advanced Lakme Outdoor,Sports,Outdoor,Lakme,VEND0298,25564.27,40098.18,14533.91
PROD00621,Luxury Mamaearth Storage,Home,Storage,Mamaearth,VEND0148,11917.89,18718.05,6800.16
PROD00234,Smart Borosil Camera,Electronics,Camera,Borosil,VEND0265,43712.14,62627.45,18915.31
PROD01526,Digital Allen Solly Skin Care,Beauty,Skin Care,Allen solly,VEND0298,18615.63,28311.41,9695.78
PROD01428,Pro Oneplus Decor,Home,Decor,Oneplus,VEND0184,47873.28,69956.58,22083.3
PROD00693,Digital Loreal Cricket,Sports,Cricket,Loreal,VEND0027,40052.64,58813.91,18761.27
PROD01926,Essential Ikea Perfume,Beauty,Perfume,Ikea,VEND0091,41315.61,56588.9,15273.29
PROD00789,Ultra Lenovo Outdoor,Sports,Outdoor,Lenovo,VEND0136,1934.93,2541.32,606.39
PROD01343,Mini Canon Lighting,Home,Lighting,Canon,VEND0256,31007.32,35222.88,4215.56
PROD00480,Classic Lenovo Laptop,Electronics,Laptop,Lenovo,VEND0062,8260.53,11396.5,3135.97
PROD00553,Essential Prestige Biography,Books,Biography,Prestige,VEND0153,13094.29,19990.48,6896.19
PROD00248,Wireless Adidas Cycling,Sports,Cycling,Adidas,VEND0090,2264.57,3232.92,968.35
PROD01745,Premium Fastrack Lighting,Home,Lighting,Fastrack,VEND0184,912.47,547.482,-364.99
PROD00345,Eco Wildcraft Lighting,Home,Lighting,Wildcraft,VEND0090,13793.94,19780.94,5987.0
PROD01860,Digital Mi Watches,Electronics,Hair Care,Mi,VEND0002,34451.4,46356.11,11904.71
PROD00568,Essential Mi Headphones,Electronics,Headphones,Mi,VEND0165,36546.42,61034.03,24487.61
PROD00571,Portable Sony Furniture,Home,Furniture,Sony,VEND0267,14945.2,19047.61,4102.41
PROD00308,Smart Ikea Women Clothing,Fashion,Women Clothing,Ikea,VEND0178,2151.22,3599.4,1448.18
PROD01783,Luxury Sony Headphones,Electronics,Headphones,Sony,VEND0100,47994.84,68339.75,20344.91
PROD00213,Ultra Lakme Cricket,Sports,Cricket,Lakme,VEND0226,43219.13,63805.72,20586.59
PROD00905,Ultra Allen Solly Children,Books,Children,Allen solly,VEND0213,48750.0,57596.44,8846.44
PROD00415,Digital Cello Hair Care,Beauty,Hair Care,Cello,VEND0089,31793.31,48200.56,16407.25
PROD01352,Eco Noise Lighting,Home,Lighting,Noise,VEND0230,30312.27,38856.1,8543.83
PROD00282,Portable Puma Watches,Fashion,Watches,Puma,VEND0177,15663.5,23981.1,8317.6
PROD01968,Advanced Cello Laptop,Electronics,Laptop,Cello,VEND0241,375.54,614.39,238.85
PROD01240,Portable Mamaearth Cycling,Sports,Cycling,Mamaearth,VEND0005,8900.47,13891.67,4991.2
PROD00434,Elite Oneplus Cricket,Electronics,Hair Care,Oneplus,VEND0138,48408.02,77206.37,28798.35
PROD00050,Advanced Oneplus Biography,Books,Biography,Oneplus,VEND0251,34390.48,55428.78,21038.3
PROD00298,Luxury Borosil Men Clothing,Fashion,Men Clothing,Borosil,VEND0297,13313.25,19881.4,6568.15
PROD01982,Classic Canon Children,Books,Children,Canon,VEND0031,14043.12,20559.45,6516.33
PROD00483,Classic Hp Women Clothing,Fashion,Women Clothing,Hp,VEND0263,35572.31,59798.48,24226.17
PROD00707,Digital Mamaearth Men Clothing,Fashion,Men Clothing,Mamaearth,VEND0118,31701.41,53782.04,22080.63
PROD00775,Premium Syska Children,Books,Children,Syska,VEND0188,31217.33,45395.63,14178.3
PROD01126,Max Prestige Lighting,Home,Lighting,Prestige,VEND0135,37403.78,61931.02,24527.24
PROD01125,Mini Syska Tablet,Electronics,Tablet,Syska,VEND0023,21674.84,27228.88,5554.04
PROD01353,Mini Prestige Education,Books,Education,Prestige,VEND0204,43128.16,59892.18,16764.02
PROD00174,Wireless Adidas Women Clothing,Fashion,Women Clothing,Adidas,VEND0284,39359.56,48141.6,8782.04
PROD00810,Wireless Dell Skin Care,Beauty,Skin Care,Dell,VEND0185,19462.83,24577.39,5114.56
PROD00430,Digital Lakme Kitchen,Home,Kitchen,Lakme,VEND0202,41432.67,64505.87,23073.2
PROD00496,Pro Syska Smart Watch,Electronics,Smart Watch,Syska,VEND0082,17903.77,25967.51,8063.74
PROD01736,Advanced Oneplus Laptop,Electronics,Laptop,Oneplus,VEND0027,18997.38,28419.23,9421.85
PROD00238,Portable Apple Women Clothing,Fashion,Women Clothing,Apple,VEND0172,15968.31,18514.46,2546.15
PROD01748,Eco Philips Hair Care,Beauty,Hair Care,Philips,VEND0026,31535.39,37468.49,5933.1
PROD00024,Smart Canon Furniture,Home,Furniture,Canon,VEND0249,43906.58,73243.62,29337.04
PROD01670,Eco Allen Solly Storage,Home,Storage,Allen solly,VEND0072,33962.21,43929.71,9967.5
PROD00064,Premium Mi Smart Watch,Electronics,Smart Watch,Mi,VEND0267,12773.39,19482.88,6709.49
PROD00189,Advanced Adidas Biography,Books,Biography,Adidas,VEND0288,27840.72,40421.36,12580.64
PROD01880,Premium Adidas Storage,Electronics,Hair Care,Adidas,VEND0047,6538.05,8498.73,1960.68
PROD00862,Elite Loreal Decor,Home,Decor,Loreal,VEND0019,46117.87,63986.93,17869.06
PROD00369,Smart Philips Outdoor,Sports,Outdoor,Philips,VEND0017,15033.73,24006.42,8972.69
PROD00271,Mini Us Polo Cricket,Sports,Cricket,Us polo,VEND0038,41175.8,47115.43,5939.63
PROD01618,Wireless Samsung Camera,Electronics,Camera,Samsung,VEND0207,45586.58,57923.2,12336.62
PROD00874,Smart Hp Men Clothing,Fashion,Men Clothing,Hp,VEND0267,16697.82,27276.08,10578.26
PROD00197,Luxury Boat Makeup,Beauty,Makeup,Boat,VEND0291,18534.15,28412.07,9877.92
PROD00484,Premium Wildcraft Camera,Electronics,Camera,Wildcraft,VEND0208,13045.33,22104.09,9058.76
PROD01217,Premium Bajaj Skin Care,Beauty,Skin Care,Bajaj,VEND0252,30362.4,40718.37,10355.97
PROD01270,Eco Fastrack Lighting,Home,Lighting,Fastrack,VEND0290,30008.13,38971.18,8963.05
PROD01273,Classic Loreal Lighting,Home,Lighting,Loreal,VEND0095,40373.2,53516.58,13143.38
PROD01314,Luxury Titan Laptop,Electronics,Laptop,Titan,VEND0127,3245.3,1947.18,-1298.12
PROD00101,Portable Syska Fitness,Sports,Fitness,Syska,VEND0209,47405.73,54581.43,7175.7
PROD01588,Max Reebok Fitness,Sports,Fitness,Reebok,VEND0284,42159.38,62243.73,20084.35
PROD01969,Max Noise Hair Care,Beauty,Hair Care,Noise,VEND0049,3324.7,4518.96,1194.26
PROD00221,Digital Loreal Fiction,Books,Fiction,Loreal,VEND0198,3342.3,3866.05,523.75
PROD00556,Eco Mamaearth Perfume,Beauty,Perfume,Mamaearth,VEND0098,36849.77,53425.32,16575.55
PROD01674,Elite Allen Solly Makeup,Beauty,Makeup,Allen solly,VEND0015,23354.3,39162.08,15807.78
PROD00481,Wireless Oneplus Cycling,Sports,Cycling,Oneplus,VEND0062,22623.26,31175.03,8551.77
PROD01677,Elite Reebok Men Clothing,Fashion,Men Clothing,Reebok,VEND0266,6340.5,9523.73,3183.23
PROD01447,Wireless Reebok Fiction,Books,Fiction,Reebok,VEND0004,744.32,903.69,159.37
PROD00734,Portable Boat Perfume,Beauty,Perfume,Boat,VEND0121,9235.12,10286.64,1051.52
PROD00758,Mini Casio Fiction,Books,Fiction,Casio,VEND0027,24087.42,30814.74,6727.32
PROD00980,Portable Syska Smart Watch,Electronics,Smart Watch,Syska,VEND0051,19746.29,31314.26,11567.97
PROD00612,Luxury Us Polo Cricket,Sports,Cricket,Us polo,VEND0128,48976.06,29385.636,-19590.42
PROD01988,Elite Oneplus Bags,Fashion,Bags,Oneplus,VEND0186,9247.79,12771.16,3523.37
PROD00858,Classic Oneplus Fiction,Books,Fiction,Oneplus,VEND0024,39988.24,67955.7,27967.46
PROD00317,Elite Fastrack Footwear,Fashion,Footwear,Fastrack,VEND0069,49455.52,70522.6,21067.08
PROD01943,Portable Canon Children,Books,Children,Canon,VEND0228,37861.18,49426.47,11565.29
PROD01508,Pro Puma Cricket,Sports,Cricket,Puma,VEND0219,110.46,136.37,25.91
PROD01243,Portable Nivea Lighting,Home,Lighting,Nivea,VEND0108,1887.96,2635.03,747.07
PROD01284,Ultra Borosil Furniture,Home,Furniture,Borosil,VEND0261,39560.31,58111.4,18551.09
PROD00079,Advanced Canon Biography,Books,Biography,Canon,VEND0042,13622.17,17597.47,3975.3
PROD00839,Digital Fastrack Outdoor,Sports,Outdoor,Fastrack,VEND0084,4554.47,5895.51,1341.04
PROD00033,Digital Fastrack Perfume,Beauty,Perfume,Fastrack,VEND0051,43198.65,48922.59,5723.94
PROD00463,Premium Dell Watches,Fashion,Watches,Dell,VEND0256,24832.57,34926.24,10093.67
PROD00747,Digital Mamaearth Lighting,Home,Lighting,Mamaearth,VEND0123,11068.59,12701.49,1632.9
PROD01848,Essential Allen Solly Makeup,Beauty,Makeup,Allen solly,VEND0098,10728.31,15404.53,4676.22
PROD00423,Elite Canon Camera,Electronics,Camera,Canon,VEND0135,14920.56,25358.8,10438.24
PROD00164,Mini Casio Makeup,Beauty,Makeup,Casio,VEND0056,29248.78,46606.48,17357.7
PROD00204,Mini Milton Education,Books,Education,Milton,VEND0037,27958.24,41960.53,14002.29
PROD01415,Smart Nivea Bags,Fashion,Bags,Nivea,VEND0251,629.54,736.55,107.01
PROD00290,Eco Reebok Biography,Books,Biography,Reebok,VEND0288,18328.57,24566.68,6238.11
PROD00938,Elite Casio Mobile,Electronics,Mobile,Casio,VEND0077,38873.0,43197.97,4324.97
PROD00781,Digital Lenovo Children,Books,Children,Lenovo,VEND0235,38325.86,55416.82,17090.96
PROD01996,Classic Syska Bags,Fashion,Bags,Syska,VEND0011,39066.59,60306.12,21239.53
PROD01812,Portable Dell Mobile,Electronics,Mobile,Dell,VEND0213,25250.26,38433.26,13183.0
PROD01455,Ultra Lenovo Footwear,Fashion,Footwear,Lenovo,VEND0206,307.46,502.43,194.97
PROD01393,Pro Hp Cricket,Sports,Cricket,Hp,VEND0295,39787.25,51710.72,11923.47
PROD00219,Portable Milton Fiction,Books,Fiction,Milton,VEND0225,32324.05,36315.59,3991.54
PROD01669,Eco Lenovo Perfume,Beauty,Perfume,Lenovo,VEND0160,44657.03,73778.62,29121.59
PROD01327,Digital Boat Children,Books,Children,Boat,VEND0140,3925.39,6116.36,2190.97
PROD00611,Eco Adidas Education,Books,Education,Adidas,VEND0165,5222.52,7805.12,2582.6
PROD00722,Digital Noise Bags,Fashion,Bags,Noise,VEND0118,28591.92,48250.68,19658.76
PROD00060,Smart Mi Furniture,Home,Furniture,Mi,VEND0143,19953.38,25284.16,5330.78
PROD01709,Ultra Mamaearth Perfume,Beauty,Perfume,Mamaearth,VEND0265,43705.15,63000.6,19295.45
PROD00074,Advanced Philips Smart Watch,Electronics,Smart Watch,Philips,VEND0238,8835.54,14797.58,5962.04
